origin                                             , destination                                        , mode   , distance_meters, distance_text, duration_seconds, duration_text  , duration_in_traffic_seconds, duration_in_traffic_text
Spittelberg                                        , Biobauern-Adventmarkt                              , walking,            2192, 2.2 km       ,             1815, 30 mins        ,                            , 
Spittelberg                                        , Rathaus                                            , walking,             933, 0.9 km       ,              766, 13 mins        ,                            , 
Spittelberg                                        , Schönbrunn                                         , walking,            5943, 5.9 km       ,             5016, 1 hour 24 mins ,                            , 
Spittelberg                                        , Prater / Riesenrad                                 , walking,            3994, 4.0 km       ,             3265, 54 mins        ,                            , 
Spittelberg                                        , Mittelalterlicher Adventmarkt                      , walking,            2192, 2.2 km       ,             1815, 30 mins        ,                            , 
Spittelberg                                        , Weihnachtsmarkt am Michaelerplatz                  , walking,            1090, 1.1 km       ,              874, 15 mins        ,                            , 
Spittelberg                                        , Schloss Wilhelminenberg                            , walking,            6101, 6.1 km       ,             5609, 1 hour 33 mins ,                            , 
Spittelberg                                        , Advent in der Stallburg                            , walking,            1119, 1.1 km       ,              902, 15 mins        ,                            , 
Spittelberg                                        , Adventmarkt Mariahilf                              , walking,             831, 0.8 km       ,              700, 12 mins        ,                            , 
Spittelberg                                        , IKEA Westbahnhof                                   , walking,            2173, 2.2 km       ,             1843, 31 mins        ,                            , 
Spittelberg                                        , Christkindlmarkt Floridsdorf (am Franz-Jonas-Platz), walking,            7494, 7.5 km       ,             6211, 1 hour 44 mins ,                            , 
Spittelberg                                        , Adventmark Verkehrsmuseum Remise                   , walking,            4555, 4.6 km       ,             3700, 1 hour 2 mins  ,                            , 
Spittelberg                                        , Weihnacht im Wald                                  , walking,            2154, 2.2 km       ,             1748, 29 mins        ,                            , 
Spittelberg                                        , Adventmarkt Favoriten                              , walking,            2192, 2.2 km       ,             1815, 30 mins        ,                            , 
Spittelberg                                        , Winterzauber im Böhmischen Prater                  , walking,            6211, 6.2 km       ,             5234, 1 hour 27 mins ,                            , 
Spittelberg                                        , Adventmarkt Meidling                               , walking,            2192, 2.2 km       ,             1815, 30 mins        ,                            , 
Spittelberg                                        , Ottakringer Weihnachtszauber                       , walking,            4081, 4.1 km       ,             3508, 58 mins        ,                            , 
Spittelberg                                        , Adventmarkt im Schloss Neugebäude                  , walking,            8816, 8.8 km       ,             7204, 2 hours 0 mins ,                            , 
Stephansplatz                                      , MQ                                                 , walking,            1656, 1.7 km       ,             1423, 24 mins        ,                            , 
Stephansplatz                                      , Altes AKH                                          , walking,            2016, 2.0 km       ,             1724, 29 mins        ,                            , 
Stephansplatz                                      , Am Hof                                             , walking,             548, 0.5 km       ,              449, 7 mins         ,                            , 
Stephansplatz                                      , Spittelberg                                        , walking,            1758, 1.8 km       ,             1506, 25 mins        ,                            , 
Stephansplatz                                      , Opera                                              , walking,            6129, 6.1 km       ,             5150, 1 hour 26 mins ,                            , 
