origin,destination,distance_meters,duration_walking_sec,duration_walking_min,duration_public_transport_sec,duration_public_transport_min
Stephansplatz                                      , IKEA Westbahnhof                                   ,3633,3119,52,,
Stephansplatz                                      , Christkindlmarkt Floridsdorf (am Franz-Jonas-Platz),6745,5592,94,,
Stephansplatz                                      , Adventmark Verkehrsmuseum Remise                   ,3085,2550,43,,
Stephansplatz                                      , Weihnacht im Wald                                  ,3335,2791,47,,
Stephansplatz                                      , Adventmarkt Favoriten                              ,2786,2339,39,,
Stephansplatz                                      , Winterzauber im Böhmischen Prater                  ,5931,5090,85,,
Stephansplatz                                      , Adventmarkt Meidling                               ,2786,2339,39,,
Stephansplatz                                      , Ottakringer Weihnachtszauber                       ,5472,4695,79,,
Stephansplatz                                      , Adventmarkt im Schloss Neugebäude                  ,8084,6646,111,,
Opera                                              , MQ                                                 ,4473,3664,62,,
Opera                                              , Altes AKH                                          ,5438,4505,76,,
Opera                                              , Am Hof                                             ,5941,4854,81,,
Opera                                              , Spittelberg                                        ,4487,3688,62,,
Opera                                              , Stephansplatz                                      ,6129,5003,84,,
Opera                                              , Türkenschanzpark                                   ,6248,5303,89,,
Opera                                              , Maria-Theresien-Platz                              ,4727,3884,65,,
Opera                                              , Blumengärten Hirschstetten                         ,16306,13525,226,,
Opera                                              , Palais Liechtenstein                               ,6614,5501,92,,
Opera                                              , Belvedere                                          ,6592,5513,92,,
Opera                                              , Karlsplatz                                         ,5461,4531,76,,
Opera                                              , Messe                                              ,9532,7858,131,,
Opera                                              , Altwiener Christkindlmarkt                         ,5759,4709,79,,
Opera                                              , Biobauern-Adventmarkt                              ,4586,3789,64,,
Opera                                              , Rathaus                                            ,5309,4394,74,,
Opera                                              , Schönbrunn                                         ,1555,1292,22,,
Opera                                              , Prater / Riesenrad                                 ,8374,6870,115,,
Opera                                              , Mittelalterlicher Adventmarkt                      ,4586,3789,64,,
Opera                                              , Weihnachtsmarkt am Michaelerplatz                  ,5507,4506,76,,
Opera                                              , Schloss Wilhelminenberg                            ,5134,4756,80,,
Opera                                              , Advent in der Stallburg                            ,5536,4535,76,,
Opera                                              , Adventmarkt Mariahilf                              ,3838,3188,54,,
Opera                                              , IKEA Westbahnhof                                   ,2697,2247,38,,
Opera                                              , Christkindlmarkt Floridsdorf (am Franz-Jonas-Platz),11820,9816,164,,
Opera                                              , Adventmark Verkehrsmuseum Remise                   ,8588,7081,119,,
Opera                                              , Weihnacht im Wald                                  ,3517,2902,49,,
Opera                                              , Adventmarkt Favoriten                              ,4586,3789,64,,
Opera                                              , Winterzauber im Böhmischen Prater                  ,8337,7144,120,,
Opera                                              , Adventmarkt Meidling                               ,4586,3789,64,,
Opera                                              , Ottakringer Weihnachtszauber                       ,3124,2683,45,,
Opera                                              , Adventmarkt im Schloss Neugebäude                  ,11786,9753,163,,
Türkenschanzpark                                   , MQ                                                 ,4736,3876,65,,
Türkenschanzpark                                   , Altes AKH                                          ,3472,2777,47,,
Türkenschanzpark                                   , Am Hof                                             ,4208,3401,57,,
Türkenschanzpark                                   , Spittelberg                                        ,4799,3933,66,,
Türkenschanzpark                                   , Stephansplatz                                      ,4707,3793,64,,
Türkenschanzpark                                   , Opera                                              ,6248,5145,86,,
Türkenschanzpark                                   , Maria-Theresien-Platz                              ,4573,3707,62,,
Türkenschanzpark                                   , Blumengärten Hirschstetten                         ,13044,10659,178,,
Türkenschanzpark                                   , Palais Liechtenstein                               ,2956,2301,39,,
Türkenschanzpark                                   , Belvedere                                          ,6714,5535,93,,
Türkenschanzpark                                   , Karlsplatz                                         ,5418,4398,74,,
Türkenschanzpark                                   , Messe                                              ,6900,5708,96,,
Türkenschanzpark                                   , Altwiener Christkindlmarkt                         ,3927,3167,53,,
Türkenschanzpark                                   , Biobauern-Adventmarkt                              ,6638,5446,91,,
Türkenschanzpark                                   , Rathaus                                            ,3937,3177,53,,
Türkenschanzpark                                   , Schönbrunn                                         ,7869,6503,109,,
Türkenschanzpark                                   , Prater / Riesenrad                                 ,5876,4836,81,,
Türkenschanzpark                                   , Mittelalterlicher Adventmarkt                      ,6638,5446,91,,
Türkenschanzpark                                   , Weihnachtsmarkt am Michaelerplatz                  ,4305,3476,58,,
Türkenschanzpark                                   , Schloss Wilhelminenberg                            ,5175,4731,79,,
Türkenschanzpark                                   , Advent in der Stallburg                            ,4427,3578,60,,
Türkenschanzpark                                   , Adventmarkt Mariahilf                              ,5367,4402,74,,
Türkenschanzpark                                   , IKEA Westbahnhof                                   ,5434,4511,76,,
Türkenschanzpark                                   , Christkindlmarkt Floridsdorf (am Franz-Jonas-Platz),6330,5103,86,,
Türkenschanzpark                                   , Adventmark Verkehrsmuseum Remise                   ,7743,6306,106,,
Türkenschanzpark                                   , Weihnacht im Wald                                  ,6186,5037,84,,
Türkenschanzpark                                   , Adventmarkt Favoriten                              ,6638,5446,91,,
Türkenschanzpark                                   , Winterzauber im Böhmischen Prater                  ,10234,8551,143,,
Türkenschanzpark                                   , Adventmarkt Meidling                               ,6638,5446,91,,
Türkenschanzpark                                   , Ottakringer Weihnachtszauber                       ,4064,3399,57,,
Türkenschanzpark                                   , Adventmarkt im Schloss Neugebäude                  ,12629,10321,173,,
Maria-Theresien-Platz                              , MQ                                                 ,254,237,4,,
Maria-Theresien-Platz                              , Altes AKH                                          ,1531,1298,22,,
Maria-Theresien-Platz                              , Am Hof                                             ,951,765,13,,
Maria-Theresien-Platz                              , Spittelberg                                        ,310,290,5,,
Maria-Theresien-Platz                              , Stephansplatz                                      ,1185,949,16,,
Maria-Theresien-Platz                              , Opera                                              ,4727,3964,67,,
Maria-Theresien-Platz                              , Türkenschanzpark                                   ,4573,3995,67,,
Maria-Theresien-Platz                              , Blumengärten Hirschstetten                         ,11249,9346,156,,
Maria-Theresien-Platz                              , Palais Liechtenstein                               ,2148,1752,30,,
Maria-Theresien-Platz                              , Belvedere                                          ,2310,1952,33,,
Maria-Theresien-Platz                              , Karlsplatz                                         ,859,694,12,,
Maria-Theresien-Platz                              , Messe                                              ,4489,3705,62,,
Maria-Theresien-Platz                              , Altwiener Christkindlmarkt                         ,958,771,13,,
Maria-Theresien-Platz                              , Biobauern-Adventmarkt                              ,2144,1803,31,,
Maria-Theresien-Platz                              , Rathaus                                            ,687,577,10,,
Maria-Theresien-Platz                              , Schönbrunn                                         ,6001,5106,86,,
